Provincia,Abreviatura,Área,PoblaciónProvincia,Capital,PoblaciónCapital
Buenos Aires,BA,307571,15625084,La Plata,740369
CABA,CF,202,2890151,-,2890151
Catamarca,CT,102602,367828,San Fernando del Valle de Catamarca,159139
Chaco,CC,99633,1055259,Resistencia,290723
Chubut,CH,224686,509108,Rawson,33601
Córdoba,CD,165321,3308876,Córdoba,1329604
Corrientes,CR,88199,992595,Corrientes,346334
Entre Ríos,ER,78781,1235994,Paraná,247863
Formosa,FO,72066,530162,Formosa,222226
Jujuy,JY,53219,673307,San Salvador de Jujuy,265249
La Pampa,LP,143440,318951,Santa Rosa,109879
La Rioja,LR,89680,333642,La Rioja,178872
Mendoza,MZ,148827,1738929,Ciudad de Mendoza,114822
Misiones,MN,29801,1101593,Posadas,275028
Neuquén,NQ,94078,551266,Neuquén,231780
Río Negro,RN,203013,638645,Viedma,52789
Salta,SA,155488,1214441,Ciudad de Salta,553303
San Juan,SJ,89651,681055,San Juan,109123
San Luis,SL,76748,432310,San Luis,204019
Santa Cruz,SC,243943,273964,Río Gallegos,95796
Santa Fe,SF,133007,3194537,Santa Fe,415345
Santiago del Estero,SE,136351,874006,Santiago del Estero,242192
Tierra del Fuego,TF,21478,127205,Ushuaia,56593
Tucumán,TM,22524,1448188,San Miguel de Tucumán,549143
